,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
0,CONFIRMED,0,0,0,0,9.48803557,2.9575,615.8,0.146,2.26,793.0,93.59,5455.0,4.467,0.927,35.8
1,CONFIRMED,0,0,0,0,54.4183827,4.507,874.8,0.586,2.83,443.0,9.11,5455.0,4.467,0.927,25.8
2,CANDIDATE,0,0,0,0,19.89913995,1.7822,10829.0,0.969,14.6,638.0,39.3,5853.0,4.544,0.868,76.3
3,FALSE POSITIVE,0,1,0,0,1.736952453,2.40641,8079.2,1.276,33.46,1395.0,891.96,5805.0,4.564,0.791,505.6
4,CONFIRMED,0,0,0,0,2.525591777,1.6545,603.3,0.701,2.75,1406.0,926.16,6031.0,4.438,1.046,40.9
5,CONFIRMED,0,0,0,0,11.09432054,4.5945,1517.5,0.538,3.9,835.0,114.81,6046.0,4.486,0.972,66.5
6,CONFIRMED,0,0,0,0,4.13443512,3.1402,686.0,0.762,2.77,1160.0,427.65,6046.0,4.486,0.972,40.2
7,CONFIRMED,0,0,0,0,2.56658897,2.429,226.5,0.755,1.59,1360.0,807.74,6046.0,4.486,0.972,15.0
8,FALSE POSITIVE,0,1,1,0,7.36178958,5.022,233.7,1.169,39.21,1342.0,767.22,6227.0,3.986,1.958,47.7
9,CONFIRMED,0,0,0,0,16.06864674,3.5347,4914.3,0.052,5.76,600.0,30.75,5031.0,4.485,0.848,161.9
10,CONFIRMED,0,0,0,0,2.470613377,1.74319,14231.0,0.818,13.04,1339.0,761.46,5820.0,4.457,0.964,4304.3
11,CONFIRMED,0,1,0,0,2.204735417,3.88864,6674.7,0.224,16.1,2048.0,4148.92,6440.0,4.019,1.952,5945.9
12,CONFIRMED,0,0,0,0,3.522498429,3.19843,9145.7,0.631,14.59,1521.0,1264.67,6225.0,4.169,1.451,1741.5
13,CONFIRMED,0,0,0,0,3.709214104,2.6302,131.1,0.051,1.16,1206.0,500.46,5833.0,4.407,1.022,50.6
14,FALSE POSITIVE,0,1,0,0,11.521446064,3.6399,17984.0,2.483,150.51,753.0,75.88,5795.0,4.554,0.848,622.1
15,FALSE POSITIVE,0,1,0,0,19.40393776,12.2155,8918.7,0.804,7.18,523.0,17.69,5043.0,4.591,0.68,214.7
16,FALSE POSITIVE,0,1,0,0,19.221388942,4.79843,74284.0,1.065,49.29,698.0,55.97,6117.0,4.496,0.947,2317.0
17,FALSE POSITIVE,0,1,0,0,16.46983774,9.4378,10479.0,0.292,7.94,595.0,29.61,5152.0,4.517,0.786,303.4
18,CONFIRMED,0,0,0,0,9.27358173,3.2875,1288.3,0.387,2.47,649.0,41.85,4856.0,4.583,0.696,87.2
19,CONFIRMED,0,0,0,0,6.02930329,1.5821,1912.7,0.258,2.85,678.0,50.04,4537.0,4.648,0.672,65.4
20,FALSE POSITIVE,0,1,1,1,2.696370652,3.6129,397.9,0.044,1.58,1066.0,305.34,4989.0,4.504,0.819,48.2
21,CONFIRMED,0,0,0,0,5.349553819,3.0278,831.0,0.092,2.55,919.0,168.99,5185.0,4.44,0.91,60.6
22,CONFIRMED,0,0,0,0,3.94105221,2.5984,363.3,0.226,1.7,1018.0,253.15,5185.0,4.44,0.91,28.9
23,CONFIRMED,0,0,0,0,8.10904807,3.596,217.4,0.025,1.3,800.0,97.03,5185.0,4.44,0.91,14.1
24,FALSE POSITIVE,0,1,0,0,386.6030528,6.8057,24927.0,0.9765,41.5,297.0,1.84,5543.0,4.081,1.58,994.0
25,CONFIRMED,0,0,0,0,21.67699193,3.4555,857.2,0.896,2.95,530.0,18.64,4954.0,4.5,0.828,34.3
26,CONFIRMED,0,0,0,0,4.99677968,2.1717,934.7,0.71,2.78,917.0,166.95,5339.0,4.552,0.847,28.2
27,CONFIRMED,0,0,0,0,4.280963604,2.875,750.8,0.424,2.3,1012.0,247.87,5644.0,4.564,0.831,61.8
28,FALSE POSITIVE,0,0,1,0,1.50635409,1.5155,2211.7,0.86,4.53,1452.0,1054.12,5714.0,4.563,0.831,181.1
29,FALSE POSITIVE,0,1,1,0,670.645531,53.412,18091.0,0.701,14.14,196.0,0.35,5520.0,4.466,0.983,642.7
30,FALSE POSITIVE,0,1,0,0,61.2563628,7.633,5123.3,1.248,39.87,505.0,15.43,6144.0,4.402,1.091,85.3
31,CONFIRMED,0,0,0,0,38.3775486,5.588,724.2,0.468,2.82,529.0,18.53,5481.0,4.369,1.036,34.7
32,CONFIRMED,0,0,0,0,41.19725502,4.6297,2213.9,0.045,3.86,439.0,8.76,5031.0,4.485,0.848,51.2
33,CONFIRMED,0,0,0,0,6.252962249,2.5819,1036.9,0.105,2.65,823.0,108.3,5031.0,4.485,0.848,47.1
34,CONFIRMED,0,0,0,0,16.01308419,3.2554,1121.9,0.799,3.1,593.0,29.31,5015.0,4.499,0.826,33.2
35,CONFIRMED,0,0,0,0,32.62876672,4.7971,1804.8,0.021,3.36,506.0,15.55,5586.0,4.56,0.798,80.0
36,CONFIRMED,0,0,0,0,91.7732862,6.473,652.0,0.606,2.12,359.0,3.92,5586.0,4.56,0.798,19.1
37,CONFIRMED,0,0,0,0,4.959319244,2.22739,9802.0,0.831,12.21,1103.0,349.4,5712.0,4.359,1.082,696.5
38,FALSE POSITIVE,0,1,1,0,2.701287801,3.3827,860.4,1.016,6.54,1222.0,527.81,5550.0,4.468,0.91,48.3
39,CONFIRMED,0,0,0,0,4.49876511,3.7362,460.0,0.312,2.1,1133.0,389.62,6075.0,4.486,0.969,29.5
40,FALSE POSITIVE,0,1,0,0,19.651209505,5.2514,11766.0,0.723,12.42,730.0,67.03,6074.0,4.391,1.063,513.4
41,CONFIRMED,0,0,0,0,5.412203927,2.9472,601.6,0.787,2.94,1093.0,337.68,5779.0,4.339,1.087,166.7
42,CONFIRMED,0,0,0,0,41.43958662,10.5989,2793.1,0.355,5.5,516.0,16.72,5468.0,4.367,1.046,141.1
43,CONFIRMED,0,0,0,0,8.35389523,2.2514,1041.6,0.023,2.52,790.0,91.9,5592.0,4.582,0.787,43.4
44,CONFIRMED,0,0,0,0,4.125543472,3.1744,1487.3,0.597,4.43,1243.0,565.35,6174.0,4.417,1.103,128.6
45,CONFIRMED,0,0,0,0,2.816504904,2.50587,16814.0,0.105,12.21,1219.0,521.13,5532.0,4.452,0.955,1406.8
46,FALSE POSITIVE,0,1,1,0,33.93373447,14.561,8503.7,0.812,7.34,430.0,8.11,5040.0,4.628,0.705,236.1
47,CONFIRMED,0,0,0,0,3.689920099,2.6557,426.7,0.151,1.89,1147.0,408.99,5880.0,4.518,0.917,35.6
48,CONFIRMED,0,0,0,0,4.431238488,3.15,1010.9,0.405,3.25,1104.0,351.23,5714.0,4.428,1.015,71.1
49,CONFIRMED,0,0,0,0,11.37936986,2.6255,1023.5,0.911,3.95,806.0,99.68,5714.0,4.428,1.015,37.9
50,CONFIRMED,0,0,0,0,26.39432897,3.573,1510.9,0.602,3.07,489.0,13.49,5129.0,4.595,0.763,48.2
51,CONFIRMED,0,0,0,0,13.57078281,3.3539,511.7,0.866,2.64,785.0,89.61,5854.0,4.406,1.012,88.4
52,CONFIRMED,0,0,0,0,7.12594387,3.0014,192.4,0.898,1.79,997.0,233.31,5779.0,4.339,1.087,47.1
53,FALSE POSITIVE,0,1,0,0,7.442652004,2.3078,24446.0,0.137,15.03,967.0,206.78,6108.0,4.469,0.956,835.6
54,CONFIRMED,0,0,0,0,16.38489988,3.0249,1127.1,0.001,2.0,433.0,8.35,4126.0,4.661,0.615,28.9
55,CONFIRMED,0,0,0,0,7.8774163,2.0805,1306.1,0.041,2.16,553.0,22.18,4126.0,4.661,0.615,38.7
56,CONFIRMED,0,0,0,0,36.4454001,4.007,1122.3,0.028,1.99,332.0,2.88,4126.0,4.661,0.615,21.7
57,CONFIRMED,0,0,0,0,3.728732147,2.683,5226.5,0.558,6.02,1023.0,258.34,5497.0,4.577,0.809,345.2
58,CANDIDATE,0,0,0,0,40.4195037,3.362,6256.0,0.911,7.51,467.0,11.29,5446.0,4.507,0.781,36.9
59,CONFIRMED,0,0,0,0,2.243380573,1.1196,821.7,0.915,1.99,822.0,107.6,4149.0,4.698,0.564,38.9
60,FALSE POSITIVE,0,1,0,0,10.405998015,6.5036,14489.0,0.324,11.23,833.0,113.94,5746.0,4.393,0.924,745.2
61,CONFIRMED,0,0,0,0,2.337437946,1.9982,971.2,0.28,2.34,1070.0,311.16,5005.0,4.595,0.765,82.4
62,CANDIDATE,0,0,0,0,7.2406612,0.558,556.4,1.198,19.45,734.0,68.63,5005.0,4.595,0.765,13.7
63,CANDIDATE,0,0,0,0,3.43591631,3.133,23.2,0.624,0.55,1272.0,617.61,5779.0,4.339,1.087,8.7
64,CONFIRMED,0,0,0,0,11.59822233,2.5237,2804.5,0.679,2.65,396.0,5.82,3688.0,4.79,0.473,71.0
65,CONFIRMED,0,0,0,0,6.575315881,4.3084,2793.3,0.39,5.31,1015.0,251.38,5992.0,4.415,0.989,221.1
66,CONFIRMED,0,0,0,0,7.275040844,7.5377,3001.0,0.547,4.86,833.0,113.64,5485.0,4.556,0.867,312.1
67,CONFIRMED,0,0,0,0,19.27153892,2.7594,1219.8,0.031,1.93,393.0,5.66,4077.0,4.702,0.56,37.1
68,CONFIRMED,0,0,0,0,10.06524317,1.369,1053.3,0.628,1.91,488.0,13.43,4077.0,4.702,0.56,30.3
69,CONFIRMED,0,0,0,0,12.3935651,3.8896,916.6,0.883,2.66,677.0,49.68,5557.0,4.603,0.75,35.8
70,CONFIRMED,0,0,0,0,43.84439721,6.802,615.2,0.852,2.87,531.0,18.77,5854.0,4.406,1.012,83.7
71,FALSE POSITIVE,0,1,1,0,3.341913228,3.813,725.3,1.213,21.55,1032.0,268.67,5295.0,4.551,0.811,39.0
72,FALSE POSITIVE,0,0,1,0,1.626630225,2.1145,1620.6,1.26,32.43,1547.0,1355.88,5735.0,4.41,0.973,103.6
73,CONFIRMED,0,0,0,0,2.711504086,3.0099,837.5,0.023,3.12,1420.0,960.79,6214.0,4.442,1.076,64.5
74,CONFIRMED,0,0,0,0,7.21203748,4.0491,950.4,0.012,3.32,1025.0,260.58,6214.0,4.442,1.076,51.5
75,FALSE POSITIVE,0,0,0,1,14.1798187,2.505,459.9,0.1601,1.88,711.0,60.35,5799.0,4.539,0.878,11.2
76,CONFIRMED,0,0,0,0,8.47237911,2.7245,1123.5,0.022,2.59,751.0,75.44,5354.0,4.587,0.788,47.6
77,CONFIRMED,0,0,0,0,60.4189369,5.039,931.3,0.094,2.36,390.0,5.49,5354.0,4.587,0.788,20.1
78,CONFIRMED,0,0,0,0,12.611904345,5.1497,6105.6,0.55,7.4,753.0,76.15,5795.0,4.508,0.919,277.2
79,FALSE POSITIVE,0,1,0,0,1.433769925,1.8868,1976.3,1.268,46.58,1920.0,3209.29,6017.0,4.22,1.339,112.6
80,FALSE POSITIVE,0,1,1,0,10.31872301,3.836,871.7,1.215,28.59,876.0,139.26,5927.0,4.409,1.06,38.2
81,CONFIRMED,0,0,0,0,2.539183147,2.4282,382.1,0.238,2.06,1332.0,743.09,5519.0,4.35,1.062,38.9
82,CONFIRMED,0,0,0,0,6.770300385,2.0844,1304.0,0.838,2.77,812.0,102.87,5653.0,4.656,0.679,50.8
83,FALSE POSITIVE,0,1,1,1,0.444291966,2.0792,10967.0,1.258,27.51,1836.0,2706.26,5255.0,4.678,0.636,299.7
84,CANDIDATE,0,0,0,0,10.181584004,3.5089,5741.1,0.92,7.73,812.0,102.91,5988.0,4.541,0.836,183.6
85,CONFIRMED,0,0,0,0,20.06036336,3.3203,1494.7,0.556,1.96,361.0,4.0,3950.0,4.754,0.493,35.2
86,CONFIRMED,0,0,0,0,46.1842039,4.758,1394.7,0.013,1.83,273.0,1.32,3950.0,4.754,0.493,26.0
87,CONFIRMED,0,0,0,0,23.9800854,5.351,104.0,0.95,1.31,649.0,41.94,5854.0,4.406,1.012,17.1
88,CONFIRMED,0,0,0,0,7.82502168,2.186,520.8,0.708,1.2,494.0,14.05,3950.0,4.754,0.493,15.9
89,CONFIRMED,0,0,0,0,3.895936525,2.3111,8544.8,0.524,7.34,1005.0,241.62,5557.0,4.592,0.774,370.8
90,CONFIRMED,0,0,0,0,22.36646466,5.228,986.8,0.4,2.32,536.0,19.45,5395.0,4.615,0.734,32.1
91,CONFIRMED,0,0,0,0,1.625522174,2.38963,7969.0,0.076,9.73,1579.0,1467.41,5539.0,4.322,1.106,799.7
92,CANDIDATE,0,0,0,0,19.620346923,2.0038,21725.0,0.458,13.6,643.0,40.39,5710.0,4.492,0.905,340.5
93,FALSE POSITIVE,1,0,1,0,7.544039,6.222,322.6,1.175,17.47,838.0,116.46,5657.0,4.567,0.824,14.2
94,CONFIRMED,0,0,0,0,9.02930689,3.1449,1019.8,0.024,2.57,757.0,77.75,5349.0,4.526,0.82,53.9
95,FALSE POSITIVE,0,1,0,0,10.328035714,7.7915,16918.0,0.281,13.28,843.0,119.31,5627.0,4.359,1.024,636.8
96,CONFIRMED,0,0,0,0,143.2063047,8.9302,10566.0,0.379,8.9,308.0,2.14,5485.0,4.556,0.867,138.8
97,CONFIRMED,0,0,0,0,6.164876,3.262,55.8,0.646,0.79,1021.0,256.35,5854.0,4.406,1.012,14.4
98,CONFIRMED,0,0,0,0,60.32494216,6.6188,20280.0,0.224,12.19,411.0,6.77,5485.0,4.556,0.867,347.2
99,CONFIRMED,0,0,0,0,29.1598615,4.803,488.0,0.3619,1.91,524.0,17.85,5485.0,4.556,0.867,11.6
100,FALSE POSITIVE,0,0,1,1,1.540397253,2.1541,816.1,1.225,25.69,1470.0,1105.68,5663.0,4.53,0.915,38.8
101,FALSE POSITIVE,0,0,1,1,2.99025443,5.414,589.2,0.014,1.7,918.0,168.45,4667.0,4.578,0.731,48.5
102,CONFIRMED,0,0,0,0,1.594745374,1.9604,15044.0,0.514,11.3,1539.0,1329.42,5934.0,4.491,0.893,1009.3
103,CONFIRMED,0,0,0,0,4.783002698,2.335,1008.7,0.003,2.5,886.0,145.48,5170.0,4.574,0.807,70.6
104,CONFIRMED,0,0,0,0,20.50588921,4.0595,2105.5,0.26,3.41,518.0,17.06,4905.0,4.544,0.761,78.5
105,CONFIRMED,0,0,0,0,3.340218842,1.9104,1632.6,0.466,2.03,656.0,43.73,3950.0,4.754,0.493,71.6
106,FALSE POSITIVE,0,1,1,0,2.507089906,2.0067,1339.2,1.255,30.26,1326.0,730.47,5926.0,4.506,0.939,64.9
107,CONFIRMED,0,0,0,0,18.64932728,4.4056,893.6,0.08,3.12,701.0,57.13,5775.0,4.405,1.053,46.1
108,CONFIRMED,0,0,0,0,4.90144976,4.1654,140.7,0.529,1.7,1262.0,598.74,5847.0,4.191,1.402,50.6
109,CONFIRMED,0,0,0,0,9.75192101,4.793,418.0,0.949,2.76,870.0,135.66,5775.0,4.405,1.053,28.5
110,CONFIRMED,0,0,0,0,38.5576546,5.794,993.0,0.911,4.02,550.0,21.71,5775.0,4.405,1.053,39.7
111,CONFIRMED,0,0,0,0,3.525632539,2.59959,22335.0,0.12,11.58,975.0,213.12,5150.0,4.572,0.793,1996.7
112,CANDIDATE,0,0,0,0,34.84398644,2.9315,4523.6,0.934,7.61,511.0,16.1,5509.0,4.482,0.871,76.8
113,CONFIRMED,0,0,0,0,7.748094239,3.5957,2472.1,0.517,5.52,964.0,204.39,5973.0,4.439,1.085,113.2
114,CONFIRMED,0,0,0,0,23.96793669,3.827,1182.3,0.416,1.8,329.0,2.77,3747.0,4.728,0.524,27.5
115,CONFIRMED,0,0,0,0,8.29561738,1.3421,824.3,0.888,1.82,469.0,11.39,3747.0,4.728,0.524,17.9
116,CONFIRMED,0,0,0,0,8.11437482,2.2736,1558.0,0.573,2.1,460.0,10.55,3692.0,4.753,0.517,56.4
117,FALSE POSITIVE,0,1,0,0,38.036729482,4.34617,82872.0,0.501,27.5,500.0,14.81,5575.0,4.521,0.932,1300.0
118,CANDIDATE,0,0,0,0,4.64090031,35.512,2450.6,1.28,30.09,1155.0,421.08,6463.0,4.5,0.826,296.9
119,FALSE POSITIVE,0,1,1,1,3.747838198,5.0642,616.0,1.121,13.65,1031.0,266.76,5514.0,4.569,0.826,138.2
120,CONFIRMED,0,0,0,0,14.74914825,6.0995,430.2,0.173,2.89,874.0,137.91,5847.0,4.191,1.402,107.4
121,CONFIRMED,0,0,0,0,21.81295996,4.3791,1175.4,0.053,3.38,639.0,39.33,5601.0,4.41,0.999,37.8
122,FALSE POSITIVE,0,1,0,0,7.91936937,3.3148,15148.0,0.733,10.34,814.0,104.0,5690.0,4.588,0.776,389.0
123,CANDIDATE,0,0,0,0,1.028436523,1.8606,8098.0,1.5734,72.77,1947.0,3400.48,6228.0,4.428,0.99,89.6
124,CONFIRMED,0,0,0,0,15.37562369,3.3169,15337.0,0.692,11.01,600.0,30.54,4986.0,4.496,0.833,166.0
125,CONFIRMED,0,0,0,0,8.10363271,3.161,887.9,0.047,2.11,687.0,52.82,4861.0,4.574,0.732,39.3
126,CONFIRMED,0,0,0,0,4.71510843,2.506,417.5,0.258,1.46,823.0,108.84,4861.0,4.574,0.732,21.3
127,CONFIRMED,0,0,0,0,6.365839713,2.9721,780.7,0.524,2.44,914.0,165.33,5776.0,4.554,0.849,70.8
128,FALSE POSITIVE,0,0,1,0,5.97581754,3.065,962.4,0.941,3.86,1047.0,284.25,6108.0,4.471,0.997,50.3
129,FALSE POSITIVE,0,0,1,1,2.446737317,4.7211,1177.9,1.241,26.25,1261.0,597.19,5764.0,4.548,0.863,110.2
130,CONFIRMED,0,0,0,0,3.04033046,1.8411,10859.0,0.736,8.99,1021.0,257.29,5035.0,4.519,0.791,568.2
131,CONFIRMED,0,0,0,0,15.33528675,3.897,3081.4,0.773,5.0,610.0,32.67,5251.0,4.581,0.817,86.6
132,CONFIRMED,0,0,0,0,7.95825328,4.377,50.0,0.706,1.06,1074.0,314.15,5847.0,4.191,1.402,14.7
133,CONFIRMED,0,0,0,0,31.33046135,5.176,5073.8,0.798,6.5,481.0,12.61,5251.0,4.581,0.817,117.2
134,FALSE POSITIVE,0,1,0,0,3.9043425,3.831,16228.0,0.709,12.28,1104.0,351.05,5810.0,4.526,0.898,323.4
135,FALSE POSITIVE,0,1,0,0,9.286358079,3.49949,44791.0,0.377,17.61,796.0,95.03,5670.0,4.523,0.821,1671.1
136,FALSE POSITIVE,0,1,0,0,3.951405455,2.1862,2453.9,1.276,31.44,1133.0,388.71,6046.0,4.539,0.869,117.2
137,CONFIRMED,0,0,0,0,23.65369415,8.2183,3341.8,0.008,7.89,731.0,67.65,5739.0,4.191,1.384,266.3
138,CONFIRMED,0,0,0,0,13.23352214,6.7372,504.6,0.014,3.06,888.0,146.67,5739.0,4.191,1.384,49.1
139,CONFIRMED,0,0,0,0,6.15560285,4.9843,285.0,0.235,2.32,1146.0,406.94,5739.0,4.191,1.384,35.1
140,CONFIRMED,0,0,0,0,2.090811305,3.388,115.9,0.746,1.62,1642.0,1718.04,5739.0,4.191,1.384,19.9
141,CONFIRMED,0,0,0,0,3.180027898,3.5797,120.3,0.196,1.53,1458.0,1066.86,5847.0,4.191,1.402,50.4
142,CONFIRMED,0,0,0,0,50.4467417,7.159,370.3,0.379,2.67,568.0,24.64,5739.0,4.191,1.384,19.4
143,CONFIRMED,0,0,0,0,11.76307164,2.9076,1037.3,0.048,2.35,616.0,33.99,4959.0,4.603,0.756,48.9
144,CONFIRMED,0,0,0,0,56.2279271,3.57,862.7,0.7,2.37,366.0,4.22,4959.0,4.603,0.756,20.9
145,FALSE POSITIVE,0,1,1,1,2.384052875,3.0918,1268.1,1.178,17.06,1010.0,244.87,4794.0,4.58,0.701,50.5
146,CONFIRMED,0,0,0,0,7.953547,2.6312,875.4,0.3,2.25,696.0,55.37,4768.0,4.536,0.779,38.4
147,CONFIRMED,0,0,0,0,4.14451656,2.3421,391.8,0.004,1.48,864.0,132.08,4768.0,4.536,0.779,22.8
148,FALSE POSITIVE,0,1,0,0,4.859386384,2.2757,6044.3,1.259,38.33,1114.0,364.23,6072.0,4.47,0.988,269.7
149,CONFIRMED,0,0,0,0,10.526294577,2.5211,9768.0,0.644,8.24,713.0,61.16,5386.0,4.553,0.793,482.3
150,CONFIRMED,0,0,0,0,4.583520948,2.7055,3812.1,0.045,5.39,1038.0,274.98,5815.0,4.54,0.877,99.5
151,CONFIRMED,0,0,0,0,3.76181843,3.5176,510.6,0.926,2.66,1121.0,372.62,5653.0,4.472,0.949,35.9
152,CONFIRMED,0,0,0,0,8.20396958,2.9667,1024.4,0.823,3.01,742.0,71.5,5015.0,4.499,0.826,54.4
153,CONFIRMED,0,0,0,0,14.49645186,4.016,647.5,0.97,3.01,613.0,33.48,5015.0,4.499,0.826,25.7
154,CONFIRMED,0,0,0,0,6.54626149,2.75,655.9,0.644,2.19,810.0,101.78,5251.0,4.581,0.817,24.8
155,CONFIRMED,0,0,0,0,12.71809866,3.0957,1149.4,0.427,2.31,562.0,23.6,4702.0,4.592,0.686,52.7
156,CONFIRMED,0,0,0,0,36.06588163,4.3246,1563.8,0.26,2.64,397.0,5.88,4702.0,4.592,0.686,51.7
157,CONFIRMED,0,0,0,0,4.190425659,2.8589,2877.4,0.458,6.21,1234.0,547.9,6073.0,4.392,1.135,240.6
158,CONFIRMED,0,0,0,0,3.709870784,3.0694,2020.3,0.023,4.35,1151.0,415.1,5727.0,4.463,0.978,116.1
159,CONFIRMED,0,0,0,0,16.3297527,6.271,1187.5,0.791,3.75,727.0,66.08,5878.0,4.444,0.987,74.6
160,CONFIRMED,0,0,0,0,27.807566216,4.21587,25391.0,0.782,13.84,554.0,22.24,5862.0,4.584,0.785,748.1
161,CONFIRMED,0,0,0,0,80.8723469,11.195,3604.6,0.527,7.59,452.0,9.88,5510.0,4.222,1.238,160.9
162,FALSE POSITIVE,0,1,1,0,3.166465862,2.9381,4357.2,1.266,26.82,954.0,196.31,4968.0,4.575,0.704,122.1
163,CONFIRMED,0,0,0,0,24.99324319,5.9409,269.6,0.686,2.29,712.0,60.88,5718.0,4.181,1.317,62.0
164,CONFIRMED,0,0,0,0,10.35533116,3.1775,750.6,0.029,2.47,777.0,86.22,5501.0,4.462,0.918,49.2
165,CONFIRMED,0,0,0,0,16.08518937,3.984,1442.4,0.867,3.68,613.0,33.43,5239.0,4.523,0.826,62.6
166,CANDIDATE,0,0,0,0,235.9986399,8.2284,20715.0,0.778,10.59,188.0,0.29,4245.0,4.627,0.657,271.8
167,CONFIRMED,0,0,0,0,7.49018305,2.7297,1123.6,0.02,2.56,753.0,76.06,5103.0,4.562,0.787,53.0
168,CONFIRMED,0,0,0,0,36.2761238,4.7865,1572.6,0.035,3.03,445.0,9.29,5103.0,4.562,0.787,45.5
169,CONFIRMED,0,0,0,0,17.46087931,2.2641,812.4,0.594,2.32,568.0,24.6,5103.0,4.562,0.787,22.6
170,CONFIRMED,0,0,0,0,56.0560754,4.685,1626.0,0.018,1.94,233.0,0.69,3593.0,4.757,0.491,27.4
171,CONFIRMED,0,0,0,0,41.408316686,5.0264,22839.0,0.377,11.38,453.0,9.93,5522.0,4.586,0.747,907.8
172,CANDIDATE,0,0,0,0,39.74893077,7.3051,15179.0,0.881,14.21,552.0,21.87,6122.0,4.487,0.964,561.1
173,CONFIRMED,0,0,0,0,5.715425977,2.5242,908.1,0.348,2.47,850.0,123.03,5237.0,4.572,0.826,59.4
174,CONFIRMED,0,0,0,0,49.18394185,11.3364,1646.2,0.035,8.2,669.0,47.4,5626.0,3.907,2.057,355.7
175,CONFIRMED,0,0,0,0,20.0261412,1.611,421.2,0.957,2.28,559.0,23.14,5237.0,4.572,0.826,10.7
176,CANDIDATE,0,0,0,0,13.61014819,2.594,5732.9,1.081,19.02,733.0,68.29,5697.0,4.46,0.903,184.1
177,FALSE POSITIVE,0,1,1,1,10.44331991,2.743,1159.8,0.23,2.66,667.0,46.94,4947.0,4.516,0.802,51.7
178,CONFIRMED,0,0,0,0,2.237489571,1.8119,315.8,0.128,1.41,1160.0,427.17,5265.0,4.58,0.81,30.7
179,FALSE POSITIVE,0,1,0,0,5.851520671,3.11058,33004.0,0.211,14.62,901.0,155.89,5532.0,4.53,0.806,1630.4
180,CONFIRMED,0,0,0,0,3.167893418,2.1814,781.2,0.026,2.62,1221.0,526.23,5895.0,4.503,0.94,64.8
181,CONFIRMED,0,0,0,0,4.311780262,2.7251,1154.0,0.196,3.11,1038.0,274.84,5527.0,4.484,0.927,86.1
182,CONFIRMED,0,0,0,0,20.0504494,4.556,840.9,0.383,2.69,622.0,35.44,5527.0,4.484,0.927,37.8
183,CONFIRMED,0,0,0,0,9.76734503,1.6585,569.1,0.9,2.67,791.0,92.46,5527.0,4.484,0.927,21.1
184,CANDIDATE,0,0,0,0,119.0207044,8.1405,7430.5,0.076,8.98,366.0,4.25,5453.0,4.342,1.062,223.5
185,CONFIRMED,0,0,0,0,190.3200468,15.284,1141.7,0.812,7.78,426.0,7.8,5626.0,3.907,2.057,139.3
186,FALSE POSITIVE,0,1,1,0,2.861159894,1.8832,1014.3,0.965,4.37,1355.0,797.1,6126.0,4.458,1.021,58.3
187,CONFIRMED,0,0,0,0,26.44439337,3.9783,1843.5,0.03,3.91,562.0,23.54,5427.0,4.463,0.929,88.0
188,CONFIRMED,0,0,0,0,51.53997972,6.3994,3644.3,0.183,5.51,450.0,9.67,5427.0,4.463,0.929,155.5
189,CONFIRMED,0,0,0,0,5.902245782,2.9003,702.3,0.209,2.43,926.0,173.74,5427.0,4.463,0.929,59.3
190,CONFIRMED,0,0,0,0,2.382951591,1.8876,391.6,0.479,1.86,1253.0,583.01,5427.0,4.463,0.929,41.4
191,CONFIRMED,0,0,0,0,21.02250608,4.1072,1772.5,0.036,3.07,521.0,17.48,5067.0,4.585,0.75,62.4
192,CONFIRMED,0,0,0,0,3.219814777,2.0642,488.2,0.06,1.69,998.0,234.93,5103.0,4.562,0.787,30.5
193,CONFIRMED,0,0,0,0,5.912273234,2.3254,961.4,0.17,1.73,585.0,27.72,4072.0,4.696,0.57,62.8
194,CONFIRMED,0,0,0,0,8.98581901,2.8606,881.3,0.008,1.65,509.0,15.9,4072.0,4.696,0.57,51.8
195,CANDIDATE,0,0,0,0,12.940668656,2.4845,42450.0,0.897,22.94,723.0,64.64,5875.0,4.572,0.809,307.5
196,FALSE POSITIVE,0,1,0,0,20.5452375,2.517,218.5,0.95,2.41,742.0,71.57,5670.0,4.206,1.264,18.5
197,CONFIRMED,0,0,0,0,33.60123371,4.4056,7425.9,0.67,8.46,495.0,14.22,5149.0,4.447,0.93,247.9
198,CONFIRMED,0,0,0,0,6.76652928,2.9004,450.7,0.429,1.97,845.0,120.48,5149.0,4.447,0.93,29.2
199,CONFIRMED,0,0,0,0,4.347288783,2.1024,451.6,0.025,2.36,1174.0,449.79,5754.0,4.345,1.122,39.7
200,CONFIRMED,0,0,0,0,4.601811819,2.2607,755.9,0.567,2.35,896.0,152.91,4986.0,4.496,0.833,60.8
201,CONFIRMED,0,0,0,0,11.18719905,3.252,353.6,0.387,1.55,667.0,46.65,4986.0,4.496,0.833,21.9
202,CONFIRMED,0,0,0,0,4.220965778,3.0854,2260.0,0.705,2.62,595.0,29.68,3837.0,4.747,0.517,157.8
203,FALSE POSITIVE,0,1,0,0,6.998099523,2.0488,20285.0,7.361,588.66,853.0,125.22,5612.0,4.566,0.829,192.3
204,CONFIRMED,0,0,0,0,5.95489993,2.3892,1410.7,0.327,2.33,635.0,38.52,4261.0,4.641,0.633,87.2
205,CONFIRMED,0,0,0,0,12.03987488,2.7363,1250.6,0.286,2.18,502.0,15.06,4261.0,4.641,0.633,57.6
