,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
8717,FALSE POSITIVE,0,0,1,0,0.845097627,1.873,86.5,0.717,0.78,1584.0,1496.92,5252.0,4.593,0.783,10.7
8718,FALSE POSITIVE,0,1,0,0,17.445640466,6.08966,334160.0,0.588,63.46,682.0,51.15,5759.0,4.481,0.945,4093.9
8719,FALSE POSITIVE,0,1,0,0,14.313157391,8.90236,21567.0,0.004,34.98,1144.0,404.48,5750.0,3.703,2.379,4262.9
8720,FALSE POSITIVE,0,1,0,0,0.676990194,1.69459,20506.0,1.223,37.5,1919.0,3192.15,5813.0,4.568,0.816,997.0
8721,FALSE POSITIVE,1,0,0,0,0.515875396,1.21,1773.0,0.95,7.22,3189.0,24441.1,7229.0,4.278,1.38,9.1
8722,FALSE POSITIVE,1,0,0,0,2.83401711,5.938,84.2,0.2794,0.93,1381.0,859.57,6247.0,4.458,1.002,11.5
8723,FALSE POSITIVE,1,0,0,1,0.566803996,3.399,141.6,0.123,0.64,1350.0,786.1,4373.0,4.722,0.544,23.4
8725,FALSE POSITIVE,1,0,0,1,0.566799927,4.71,145.1,0.188,0.77,1649.0,1738.27,5092.0,4.671,0.645,28.9
8726,FALSE POSITIVE,1,0,0,1,0.566786121,3.404,81.8,0.591,0.79,1984.0,3678.65,5603.0,4.556,0.846,14.0
8727,FALSE POSITIVE,1,0,1,1,0.56679797,4.503,72.6,0.176,0.65,1799.0,2467.38,5230.0,4.594,0.777,14.0
8728,FALSE POSITIVE,0,0,1,1,0.566802891,1.861,49.2,0.628,1.29,3111.0,22107.66,6487.0,4.08,1.748,14.4
8729,CANDIDATE,0,0,0,0,0.576732089,1.856,35.4,0.518,0.43,1537.0,1316.33,4524.0,4.576,0.717,9.1
8730,FALSE POSITIVE,0,0,0,1,1.01884975,3.233,30.9,0.2737,0.47,1754.0,2238.64,6068.0,4.568,0.829,14.8
8731,CANDIDATE,0,0,0,0,10.9279755,2.486,71.5,0.0956,0.81,834.0,114.42,6045.0,4.494,0.955,7.3
8732,FALSE POSITIVE,0,1,0,0,32.440339204,4.50984,287600.0,0.645,44.56,448.0,9.52,5081.0,4.578,0.696,2177.0
8733,FALSE POSITIVE,1,0,1,0,0.552141897,4.985,105.6,1.091,10.04,2206.0,5602.43,5952.0,4.486,0.904,42.8
8734,FALSE POSITIVE,0,1,0,0,2.62387291,4.61248,232470.0,0.49,74.23,1790.0,2430.91,6728.0,4.206,1.46,2607.6
8735,FALSE POSITIVE,1,0,0,0,0.75509861,2.6423,60334.0,1.091,60.74,2359.0,7285.15,6038.0,4.206,1.213,385.4
8736,FALSE POSITIVE,1,0,0,0,3.671661096,4.29947,129240.0,0.923,105.82,1967.0,3539.43,7343.0,4.02,1.94,3152.6
8737,FALSE POSITIVE,0,1,0,0,22.673145675,6.6324,65411.0,0.605,30.92,684.0,51.67,5619.0,4.269,1.153,912.0
8738,FALSE POSITIVE,1,0,0,0,0.50948306,3.14,74.6,0.3535,1.22,3024.0,19778.63,6344.0,4.091,1.39,8.0
8739,FALSE POSITIVE,0,1,0,0,17.329965871,8.43812,252720.0,0.705,42.58,548.0,21.34,5079.0,4.588,0.683,1938.7
